23/11/16 04:08:23 PM | error loadView general | specialists | response 400
23/11/16 04:19:54 PM | error loadView general | view | response 400
23/11/16 04:19:54 PM | error loadView general | modules/specialists/view | response 400
23/11/16 04:19:55 PM | error loadView general | view | response 400
23/11/16 04:19:55 PM | error loadView general | view | response 400
23/11/16 04:19:55 PM | error loadView general | modules/specialists/view | response 400
23/11/16 04:19:56 PM | error loadView general | view | response 400
23/11/16 04:19:56 PM | error loadView general | view | response 400
23/11/16 04:20:03 PM | error loadView general | view | response 400
23/11/16 04:21:34 PM | error loadView general | view | response 400
23/11/16 04:21:34 PM | error loadView general | view | response 400
23/11/16 04:21:49 PM | error loadView general | view | response 400
23/11/16 04:21:49 PM | error loadView general | view | response 400
23/11/16 04:21:54 PM | error loadView general | view | response 400
23/11/16 04:21:54 PM | error loadView general | view | response 400
23/11/16 04:22:08 PM | error loadView general | view | response 400
23/11/16 04:22:08 PM | error loadView general | view | response 400
23/11/16 04:22:27 PM | error loadView general | view | response 400
23/11/16 04:22:27 PM | error loadView general | view | response 400
23/11/16 04:27:18 PM | error loadView general | view | response 400
23/11/16 04:27:32 PM | error loadView general | view | response 400
23/11/16 07:37:21 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:37:21 PM | error loadView general | products_specialists | response 400
23/11/16 07:37:23 PM | error loadView general | contact | response 400
23/11/16 07:37:27 PM | error loadView general | view | response 400
23/11/16 07:37:29 PM | error loadView general | contact | response 400
23/11/16 07:37:32 PM | error loadView general | view | response 400
23/11/16 07:37:33 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:37:34 PM | error loadView general | products_specialists | response 400
23/11/16 07:38:23 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:38:23 PM | error loadView general | products_specialists | response 400
23/11/16 07:38:25 PM | error loadView general | contact | response 400
23/11/16 07:38:29 PM | error loadView general | products_specialists | response 400
23/11/16 07:39:57 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:39:57 PM | error loadView general | products_specialists | response 400
23/11/16 07:40:00 PM | error loadView general | contact | response 400
23/11/16 07:40:02 PM | error loadView general | contact | response 400
23/11/16 07:40:04 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:40:05 PM | error loadView general | products_specialists | response 400
23/11/16 07:40:08 PM | error loadView general | view | response 400
23/11/16 07:40:10 PM | error loadView general | contact | response 400
23/11/16 07:43:26 PM | error loadView general | contact | response 400
23/11/16 07:43:29 PM | error loadView general | view | response 400
23/11/16 07:43:30 PM | error loadView general | contact | response 400
23/11/16 07:43:34 PM | error loadView general | view | response 400
23/11/16 07:43:34 PM | error loadView general | view | response 400
23/11/16 07:43:43 PM | error loadView general | view | response 400
23/11/16 07:43:46 PM | error loadView general | view | response 400
23/11/16 07:43:47 PM | error loadView general | view | response 400
23/11/16 07:45:42 PM | error loadView general | contact | response 400
23/11/16 07:45:42 PM | error loadView general | view | response 400
23/11/16 07:45:42 PM | error loadView general | view | response 400
23/11/16 07:45:43 PM | error loadView general | view | response 400
23/11/16 07:45:43 PM | error loadView general | view | response 400
23/11/16 07:45:44 PM | error loadView general | view | response 400
23/11/16 07:45:46 PM | error loadView general | contact | response 400
23/11/16 07:45:46 PM | error loadView general | view | response 400
23/11/16 07:45:46 PM | error loadView general | view | response 400
23/11/16 07:45:50 PM | error loadView general | view | response 400
23/11/16 07:45:50 PM | error loadView general | view | response 400
23/11/16 07:45:51 PM | error loadView general | view | response 400
23/11/16 07:46:20 PM | error loadView general | view | response 400
23/11/16 07:46:20 PM | error loadView general | view | response 400
23/11/16 07:46:20 PM | error loadView general | view | response 400
23/11/16 07:46:22 PM | error loadView general | specialists | response 400
23/11/16 07:46:22 PM | error loadView general | view | response 400
23/11/16 07:46:22 PM | error loadView general | view | response 400
23/11/16 07:46:57 PM | error loadView general | view | response 400
23/11/16 07:46:57 PM | error loadView general | view | response 400
23/11/16 07:46:57 PM | error loadView general | view | response 400
23/11/16 07:46:59 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:46:59 PM | error loadView general | view | response 400
23/11/16 07:46:59 PM | error loadView general | view | response 400
23/11/16 07:46:59 PM | error loadView general | products_specialists | response 400
23/11/16 07:47:02 PM | error loadView general | view | response 400
23/11/16 07:47:02 PM | error loadView general | view | response 400
23/11/16 07:47:02 PM | error loadView general | view | response 400
23/11/16 07:47:07 PM | error loadView general | contact | response 400
23/11/16 07:47:07 PM | error loadView general | view | response 400
23/11/16 07:47:07 PM | error loadView general | view | response 400
23/11/16 07:47:11 PM | error loadView general | view | response 400
23/11/16 07:47:12 PM | error loadView general | view | response 400
23/11/16 07:47:12 PM | error loadView general | view | response 400
23/11/16 07:49:41 PM | error loadView general | view | response 400
23/11/16 07:49:41 PM | error loadView general | view | response 400
23/11/16 07:49:42 PM | error loadView general | view | response 400
23/11/16 07:50:41 PM | error loadView general | contact | response 400
23/11/16 07:50:41 PM | error loadView general | view | response 400
23/11/16 07:50:42 PM | error loadView general | view | response 400
23/11/16 07:50:44 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:50:44 PM | error loadView general | view | response 400
23/11/16 07:50:44 PM | error loadView general | view | response 400
23/11/16 07:50:44 PM | error loadView general | products_specialists | response 400
23/11/16 07:51:17 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:51:17 PM | error loadView general | view | response 400
23/11/16 07:51:17 PM | error loadView general | view | response 400
23/11/16 07:51:19 PM | error loadView general | contact | response 400
23/11/16 07:51:19 PM | error loadView general | view | response 400
23/11/16 07:51:19 PM | error loadView general | view | response 400
23/11/16 07:51:21 PM | error loadView general | view | response 400
23/11/16 07:51:21 PM | error loadView general | view | response 400
23/11/16 07:51:21 PM | error loadView general | view | response 400
23/11/16 07:51:22 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:51:22 PM | error loadView general | view | response 400
23/11/16 07:51:23 PM | error loadView general | view | response 400
23/11/16 07:54:18 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:54:18 PM | error loadView general | view | response 400
23/11/16 07:54:18 PM | error loadView general | view | response 400
23/11/16 07:54:24 PM | error loadView general | view | response 400
23/11/16 07:54:24 PM | error loadView general | view | response 400
23/11/16 07:54:24 PM | error loadView general | view | response 400
23/11/16 07:54:25 PM | error loadView general | contact | response 400
23/11/16 07:54:25 PM | error loadView general | view | response 400
23/11/16 07:54:26 PM | error loadView general | view | response 400
23/11/16 07:54:27 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:54:27 PM | error loadView general | view | response 400
23/11/16 07:54:27 PM | error loadView general | view | response 400
23/11/16 07:54:39 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:54:39 PM | error loadView general | view | response 400
23/11/16 07:54:39 PM | error loadView general | view | response 400
23/11/16 07:54:42 PM | error loadView general | view | response 400
23/11/16 07:54:42 PM | error loadView general | view | response 400
23/11/16 07:54:42 PM | error loadView general | view | response 400
23/11/16 07:54:45 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:54:45 PM | error loadView general | view | response 400
23/11/16 07:54:45 PM | error loadView general | view | response 400
23/11/16 07:55:28 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:55:28 PM | error loadView general | view | response 400
23/11/16 07:55:28 PM | error loadView general | view | response 400
23/11/16 07:56:06 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:56:06 PM | error loadView general | view | response 400
23/11/16 07:56:07 PM | error loadView general | view | response 400
23/11/16 07:57:00 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:57:00 PM | error loadView general | view | response 400
23/11/16 07:57:00 PM | error loadView general | view | response 400
23/11/16 07:57:06 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:57:06 PM | error loadView general | view | response 400
23/11/16 07:57:06 PM | error loadView general | view | response 400
23/11/16 07:57:34 PM | error loadView general | view | response 400
23/11/16 07:57:36 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:57:38 PM | error loadView general | contact | response 400
23/11/16 07:57:39 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:57:43 PM | error loadView general | view | response 400
23/11/16 07:57:43 PM | error loadView general | view | response 400
23/11/16 07:59:17 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:59:17 PM | error loadView general | view | response 400
23/11/16 07:59:17 PM | error loadView general | view | response 400
23/11/16 07:59:18 PM | error loadView general | modules/specialists/view | response 400
23/11/16 07:59:18 PM | error loadView general | view | response 400
23/11/16 07:59:18 PM | error loadView general | view | response 400
23/11/16 08:00:51 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:00:51 PM | error loadView general | view | response 400
23/11/16 08:00:51 PM | error loadView general | view | response 400
23/11/16 08:00:53 PM | error loadView general | contact | response 400
23/11/16 08:00:54 PM | error loadView general | view | response 400
23/11/16 08:00:54 PM | error loadView general | view | response 400
23/11/16 08:01:42 PM | error loadView general | view | response 400
23/11/16 08:01:42 PM | error loadView general | view | response 400
23/11/16 08:01:43 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:01:43 PM | error loadView general | view | response 400
23/11/16 08:01:43 PM | error loadView general | view | response 400
23/11/16 08:02:19 PM | error loadView general | view | response 400
23/11/16 08:02:19 PM | error loadView general | view | response 400
23/11/16 08:02:20 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:02:20 PM | error loadView general | view | response 400
23/11/16 08:02:20 PM | error loadView general | view | response 400
23/11/16 08:02:41 PM | error loadView general | view | response 400
23/11/16 08:02:41 PM | error loadView general | view | response 400
23/11/16 08:02:42 PM | error loadView general | view | response 400
23/11/16 08:02:43 PM | error loadView general | view | response 400
23/11/16 08:02:43 PM | error loadView general | view | response 400
23/11/16 08:02:47 PM | error loadView general | view | response 400
23/11/16 08:02:47 PM | error loadView general | view | response 400
23/11/16 08:02:47 PM | error loadView general | view | response 400
23/11/16 08:04:43 PM | error loadView general | view | response 400
23/11/16 08:04:43 PM | error loadView general | view | response 400
23/11/16 08:04:44 PM | error loadView general | view | response 400
23/11/16 08:04:44 PM | error loadView general | view | response 400
23/11/16 08:04:44 PM | error loadView general | view | response 400
23/11/16 08:04:45 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:04:46 PM | error loadView general | view | response 400
23/11/16 08:04:46 PM | error loadView general | view | response 400
23/11/16 08:04:50 PM | error loadView general | view | response 400
23/11/16 08:04:51 PM | error loadView general | view | response 400
23/11/16 08:04:51 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:04:52 PM | error loadView general | view | response 400
23/11/16 08:04:52 PM | error loadView general | view | response 400
23/11/16 08:05:31 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:05:32 PM | error loadView general | view | response 400
23/11/16 08:05:32 PM | error loadView general | view | response 400
23/11/16 08:06:21 PM | error loadView general | contact | response 400
23/11/16 08:06:21 PM | error loadView general | view | response 400
23/11/16 08:06:21 PM | error loadView general | view | response 400
23/11/16 08:06:22 PM | error loadView general | contact | response 400
23/11/16 08:06:22 PM | error loadView general | view | response 400
23/11/16 08:06:22 PM | error loadView general | view | response 400
23/11/16 08:06:24 PM | error loadView general | contact | response 400
23/11/16 08:06:24 PM | error loadView general | view | response 400
23/11/16 08:06:25 PM | error loadView general | view | response 400
23/11/16 08:07:37 PM | error loadView general | contact | response 400
23/11/16 08:07:37 PM | error loadView general | view | response 400
23/11/16 08:07:37 PM | error loadView general | view | response 400
23/11/16 08:07:38 PM | error loadView general | contact | response 400
23/11/16 08:07:39 PM | error loadView general | view | response 400
23/11/16 08:07:39 PM | error loadView general | view | response 400
23/11/16 08:08:45 PM | error loadView general | contact | response 400
23/11/16 08:08:45 PM | error loadView general | view | response 400
23/11/16 08:08:45 PM | error loadView general | view | response 400
23/11/16 08:09:35 PM | error loadView general | view | response 400
23/11/16 08:09:35 PM | error loadView general | view | response 400
23/11/16 08:09:35 PM | error loadView general | view | response 400
23/11/16 08:09:36 PM | error loadView general | view | response 400
23/11/16 08:09:36 PM | error loadView general | view | response 400
23/11/16 08:09:36 PM | error loadView general | view | response 400
23/11/16 08:09:38 PM | error loadView general | main/<br /><b>Notice</b>:  Undefined offset: 1 in <b>/var/www/html/Strongertogether/utils/utils.inc.php</b> on line <b>24</b><br />http:/localhost/Strongertogether | response 400
23/11/16 08:09:38 PM | error loadView general | view | response 400
23/11/16 08:09:38 PM | error loadView general | view | response 400
23/11/16 08:09:58 PM | error loadView general | view | response 400
23/11/16 08:09:58 PM | error loadView general | view | response 400
23/11/16 08:09:58 PM | error loadView general | view | response 400
23/11/16 08:10:07 PM | error loadView general | view | response 400
23/11/16 08:10:07 PM | error loadView general | view | response 400
23/11/16 08:10:07 PM | error loadView general | view | response 400
23/11/16 08:10:09 PM | error loadView general | view | response 400
23/11/16 08:10:09 PM | error loadView general | view | response 400
23/11/16 08:10:21 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:10:21 PM | error loadView general | view | response 400
23/11/16 08:10:21 PM | error loadView general | view | response 400
23/11/16 08:21:03 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:21:03 PM | error loadView general | view | response 400
23/11/16 08:21:03 PM | error loadView general | view | response 400
23/11/16 08:25:38 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:25:38 PM | error loadView general | view | response 400
23/11/16 08:25:38 PM | error loadView general | view | response 400
23/11/16 08:29:24 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:29:25 PM | error loadView general | view | response 400
23/11/16 08:29:25 PM | error loadView general | view | response 400
23/11/16 08:29:26 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:29:26 PM | error loadView general | view | response 400
23/11/16 08:29:26 PM | error loadView general | view | response 400
23/11/16 08:30:28 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:30:28 PM | error loadView general | view | response 400
23/11/16 08:30:28 PM | error loadView general | view | response 400
23/11/16 08:30:33 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:30:33 PM | error loadView general | view | response 400
23/11/16 08:30:33 PM | error loadView general | view | response 400
23/11/16 08:30:38 PM | error loadView general | view | response 400
23/11/16 08:30:38 PM | error loadView general | view | response 400
23/11/16 08:30:40 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:30:40 PM | error loadView general | view | response 400
23/11/16 08:30:40 PM | error loadView general | view | response 400
23/11/16 08:36:08 PM | error loadView general | specialists | response 400
23/11/16 08:36:08 PM | error loadView general | view | response 400
23/11/16 08:36:08 PM | error loadView general | view | response 400
23/11/16 08:36:35 PM | error loadView general | specialists | response 400
23/11/16 08:36:35 PM | error loadView general | view | response 400
23/11/16 08:36:35 PM | error loadView general | view | response 400
23/11/16 08:36:43 PM | error loadView general | specialists | response 400
23/11/16 08:36:43 PM | error loadView general | view | response 400
23/11/16 08:36:43 PM | error loadView general | view | response 400
23/11/16 08:36:46 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:36:46 PM | error loadView general | view | response 400
23/11/16 08:36:46 PM | error loadView general | view | response 400
23/11/16 08:38:33 PM | error loadView general | modules/specialists/view | response 400
23/11/16 08:38:33 PM | error loadView general | view | response 400
23/11/16 08:38:33 PM | error loadView general | view | response 400
23/11/16 08:40:38 PM | error loadView general | view | response 400
23/11/16 08:40:38 PM | error loadView general | view | response 400
23/11/16 08:40:39 PM | error loadView general | view | response 400
23/11/16 08:40:39 PM | error loadView general | view | response 400
23/11/16 08:40:43 PM | error loadView general | view | response 400
23/11/16 08:40:43 PM | error loadView general | view | response 400
23/11/16 08:40:43 PM | error loadView general | view | response 400
23/11/16 08:40:44 PM | error loadView general | view | response 400
23/11/16 08:40:44 PM | error loadView general | view | response 400
23/11/16 09:22:46 PM | error loadView general | view | response 400
23/11/16 09:22:46 PM | error loadView general | view | response 400
23/11/16 09:34:06 PM | error loadView general | view | response 400
23/11/16 09:34:06 PM | error loadView general | view | response 400
23/11/16 09:35:24 PM | error loadView general | view | response 400
23/11/16 09:35:24 PM | error loadView general | view | response 400
24/11/16 12:36:18 PM | error loadView general | view | response 400
24/11/16 12:36:19 PM | error loadView general | view | response 400
24/11/16 12:36:19 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:36:21 PM | error loadView general | view | response 400
24/11/16 12:36:22 PM | error loadView general | view | response 400
24/11/16 12:36:22 PM | error paint_template_search | specialists | response 200
24/11/16 12:37:38 PM | error loadView general | view | response 400
24/11/16 12:37:38 PM | error loadView general | view | response 400
24/11/16 12:37:38 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:37:40 PM | error loadView general | view | response 400
24/11/16 12:37:40 PM | error loadView general | view | response 400
24/11/16 12:37:40 PM | error paint_template_search | specialists | response 200
24/11/16 12:37:45 PM | error loadView general | view | response 400
24/11/16 12:37:45 PM | error loadView general | view | response 400
24/11/16 12:37:45 PM | error paint_template_search | specialists | response 200
24/11/16 12:37:48 PM | error loadView general | view | response 400
24/11/16 12:37:48 PM | error loadView general | view | response 400
24/11/16 12:37:53 PM | error loadView general | view | response 400
24/11/16 12:37:53 PM | error loadView general | view | response 400
24/11/16 12:37:54 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:37:57 PM | error loadView general | view | response 400
24/11/16 12:37:57 PM | error loadView general | view | response 400
24/11/16 12:38:37 PM | error loadView general | view | response 400
24/11/16 12:38:37 PM | error loadView general | view | response 400
24/11/16 12:38:37 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:38:45 PM | error loadView general | view | response 400
24/11/16 12:38:46 PM | error loadView general | view | response 400
24/11/16 12:41:53 PM | error loadView general | view | response 400
24/11/16 12:41:53 PM | error loadView general | view | response 400
24/11/16 12:41:53 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:41:56 PM | error loadView general | view | response 400
24/11/16 12:41:56 PM | error loadView general | view | response 400
24/11/16 12:49:28 PM | error loadView general | view | response 400
24/11/16 12:49:29 PM | error loadView general | view | response 400
24/11/16 12:49:29 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:49:37 PM | error loadView general | view | response 400
24/11/16 12:49:37 PM | error loadView general | view | response 400
24/11/16 12:49:40 PM | error loadView general | view | response 400
24/11/16 12:49:40 PM | error loadView general | view | response 400
24/11/16 12:49:40 PM | error loadView general | view | response 400
24/11/16 12:49:41 PM | error loadView general | view | response 400
24/11/16 12:49:41 PM | error loadView general | view | response 400
24/11/16 12:49:41 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:49:44 PM | error loadView general | view | response 400
24/11/16 12:49:44 PM | error loadView general | view | response 400
24/11/16 12:49:46 PM | error loadView general | view | response 400
24/11/16 12:49:46 PM | error loadView general | view | response 400
24/11/16 12:49:46 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:49:49 PM | error loadView general | view | response 400
24/11/16 12:49:49 PM | error loadView general | view | response 400
24/11/16 12:49:51 PM | error loadView general | view | response 400
24/11/16 12:49:51 PM | error loadView general | view | response 400
24/11/16 12:49:51 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:50:21 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:50:39 PM | error loadView general | view | response 400
24/11/16 12:50:39 PM | error loadView general | view | response 400
24/11/16 12:50:45 PM | error loadView general | view | response 400
24/11/16 12:50:45 PM | error loadView general | view | response 400
24/11/16 12:50:48 PM | error loadView general | view | response 400
24/11/16 12:50:48 PM | error loadView general | view | response 400
24/11/16 12:50:52 PM | error loadView general | view | response 400
24/11/16 12:50:52 PM | error loadView general | view | response 400
24/11/16 12:50:55 PM | error loadView general | view | response 400
24/11/16 12:50:56 PM | error loadView general | view | response 400
24/11/16 12:50:56 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:51:01 PM | error loadView general | view | response 400
24/11/16 12:51:01 PM | error loadView general | view | response 400
24/11/16 12:51:04 PM | error loadView general | view | response 400
24/11/16 12:51:04 PM | error loadView general | view | response 400
24/11/16 12:51:04 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:51:07 PM | error loadView general | view | response 400
24/11/16 12:51:07 PM | error loadView general | view | response 400
24/11/16 12:51:09 PM | error loadView general | view | response 400
24/11/16 12:51:09 PM | error loadView general | view | response 400
24/11/16 12:51:09 PM | error loadView general | modules/specialists/view | response 400
24/11/16 12:51:13 PM | error loadView general | view | response 400
24/11/16 12:51:13 PM | error loadView general | view | response 400
24/11/16 12:51:15 PM | error loadView general | view | response 400
24/11/16 12:51:15 PM | error loadView general | view | response 400
24/11/16 12:51:18 PM | error loadView general | view | response 400
24/11/16 12:51:18 PM | error loadView general | view | response 400
24/11/16 12:51:20 PM | error loadView general | view | response 400
24/11/16 12:51:20 PM | error loadView general | view | response 400
24/11/16 12:51:20 PM | error loadView general | modules/specialists/view | response 400
27/11/16 05:27:17 PM | error loadView general | view | response 400
27/11/16 05:30:55 PM | error loadView general | view | response 400
27/11/16 05:30:55 PM | error loadView general | view | response 400
27/11/16 05:31:12 PM | error loadView general | view | response 400
27/11/16 05:37:03 PM | error loadView general | view | response 400
27/11/16 05:37:03 PM | error loadView general | view | response 400
27/11/16 05:38:11 PM | error loadView general | view | response 400
27/11/16 05:38:11 PM | error loadView general | view | response 400
27/11/16 05:40:05 PM | error loadView general | view | response 400
27/11/16 05:40:07 PM | error loadView general | view | response 400
27/11/16 05:40:39 PM | error loadView general | view | response 400
27/11/16 05:40:39 PM | error loadView general | view | response 400
27/11/16 05:42:34 PM | error loadView general | view | response 400
27/11/16 05:52:23 PM | error loadView general | view | response 400
27/11/16 05:53:42 PM | error loadView general | view | response 400
27/11/16 05:54:04 PM | error loadView general | view | response 400
27/11/16 06:03:54 PM | error loadView general | view | response 400
27/11/16 10:34:10 PM | error loadView general | view | response 400
28/11/16 06:51:20 PM | error loadView general | view | response 400
28/11/16 06:52:30 PM | error loadView general | view | response 400
<<<<<<< HEAD
28/11/16 08:18:26 PM | error loadView general | view | response 400
28/11/16 08:18:36 PM | error loadView general | view | response 400
28/11/16 08:18:36 PM | error loadView general | view | response 400
28/11/16 08:23:04 PM | error loadView general | view | response 400
28/11/16 08:23:16 PM | error loadView general | view | response 400
28/11/16 08:23:26 PM | error loadView general | view | response 400
28/11/16 08:23:26 PM | error loadView general | view | response 400
28/11/16 08:23:56 PM | error loadView general | view | response 400
28/11/16 08:23:56 PM | error loadView general | view | response 400
28/11/16 08:24:05 PM | error loadView general | view | response 400
28/11/16 08:24:06 PM | error loadView general | view | response 400
28/11/16 08:24:50 PM | error loadView general | view | response 400
28/11/16 08:24:51 PM | error loadView general | view | response 400
29/11/16 05:50:11 PM | error loadView general | view | response 400
29/11/16 06:00:03 PM | error loadView general | users | response 400
29/11/16 06:00:12 PM | error loadView general | view | response 400
29/11/16 06:00:15 PM | error loadView general | mai | response 400
29/11/16 06:00:23 PM | error loadView general | specialists | response 400
29/11/16 06:00:30 PM | error loadView general | specalists | response 400
29/11/16 06:00:51 PM | error loadView general | specalists | response 400
29/11/16 06:01:51 PM | error loadView general | view | response 400
=======
29/11/16 11:33:38 AM | error loadView general | view | response 400
29/11/16 11:33:41 AM | error loadView general | view | response 400
29/11/16 11:33:41 AM | error loadView general | view | response 400
29/11/16 11:33:45 AM | error loadView general | view | response 400
29/11/16 11:33:45 AM | error loadView general | view | response 400
29/11/16 11:34:05 AM | ERROR: [2] Missing argument 1 for phpmailer::AddAttachment(), called in /var/www/html/Strongertogether/classes/email/email.class.singleton.php on line 27 and defined
Warning on line 1511 in file /var/www/html/Strongertogether/libs/PHPMailer_v5.1/class.phpmailer.php
 | contact | response 200
29/11/16 11:34:05 AM | ERROR: [8] Undefined variable: path
Notice on line 1513 in file /var/www/html/Strongertogether/libs/PHPMailer_v5.1/class.phpmailer.php
 | contact | response 200
29/11/16 11:34:05 AM | ERROR: [8] Undefined variable: path
Notice on line 1514 in file /var/www/html/Strongertogether/libs/PHPMailer_v5.1/class.phpmailer.php
 | contact | response 200
29/11/16 11:34:27 AM | error loadView general | view | response 400
29/11/16 11:34:27 AM | error loadView general | view | response 400
29/11/16 11:34:27 AM | ERROR: [2] mysqli::__construct(): (HY000/1045): Access denied for user 'chalscc'@'localhost' (using password: NO)
Warning on line 38 in file /var/www/html/Strongertogether/model/db.class.singleton.php
 | specialists | response 200
29/11/16 11:34:27 AM | ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 39 in file /var/www/html/Strongertogether/model/db.class.singleton.php
 | specialists | response 200
29/11/16 11:34:27 AM | ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 43 in file /var/www/html/Strongertogether/model/db.class.singleton.php
 | specialists | response 200
29/11/16 11:34:27 AM | ERROR: [2] mysqli::__construct(): (HY000/1045): Access denied for user 'chalscc'@'localhost' (using password: NO)
Warning on line 38 in file /var/www/html/Strongertogether/model/db.class.singleton.php
 | specialists | response 200
